,id,model,rmse,mape,mase
152,123506,Random Walk,20,0.44,0.56
153,123506,Moving average,31,0.86,0.89
154,123506,XGBoost,20,0.41,0.57
155,9134292,mean,27,1.05,0.59
156,9134292,Linear model,26,0.81,0.56
157,9134292,Random Walk,27,1.07,0.6
158,9134292,Moving average,31,1.32,0.74
159,9134292,XGBoost,22,0.8,0.51
160,9134673,mean,49,3.14,0.69
161,9134673,Linear model,55,1.54,0.65
162,9134673,Random Walk,53,1.84,0.63
163,9134673,Moving average,54,1.63,0.64
164,9134673,XGBoost,46,2.62,0.7
165,134617,mean,44,2.42,0.91
166,134617,Linear model,56,1.25,1.11
167,134617,Random Walk,49,1.67,0.96
168,134617,Moving average,46,1.96,0.91
169,134617,XGBoost,49,2.59,1.0
170,17016702,mean,33,2.74,0.83
171,17016702,Linear model,29,2.28,0.7
172,17016702,Random Walk,35,2.95,0.9
173,17016702,Moving average,35,2.94,0.9
174,17016702,XGBoost,26,1.53,0.57
175,9134630,mean,34,4.39,0.71
176,9134630,Linear model,43,1.43,0.7
177,9134630,Random Walk,34,3.23,0.65
178,9134630,Moving average,41,1.6,0.67
179,9134630,XGBoost,35,3.07,0.73
180,9134282,mean,26,0.51,0.78
181,9134282,Linear model,26,0.46,0.76
182,9134282,Random Walk,26,0.45,0.76
183,9134282,Moving average,27,0.42,0.76
184,9134282,XGBoost,26,0.49,0.77
185,17433306,mean,31,3.68,0.78
186,17433306,Linear model,17,0.92,0.36
187,17433306,Random Walk,18,0.91,0.37
188,17433306,Moving average,21,0.76,0.44
189,17433306,XGBoost,16,1.41,0.37
190,130335,mean,19,0.53,0.68
191,130335,Linear model,15,0.35,0.53
192,130335,Random Walk,40,1.15,1.58
193,130335,Moving average,16,0.44,0.59
